Titre,Lien,Description,Date d'ouverture,Date de clôture,Pertinence,Matching Word(s),Pertinence LLM,Résumé LLM,Réponse brute
Career development award,https://www.ukri.org/opportunity/career-development-award/,"You can apply for support to become an independent researcher, if your research focus is within Medical Research Council remit to improve human health.",18 June 2025 9:00am UK time,10 September 2025 4:00pm UK time,Yes,"due diligence, intellectual property, artificial intelligence, applied research",Non,"L'appel à projet concerne une bourse de recherche pour des chercheurs qui veulent devenir des chercheurs indépendants dans le domaine de la santé, ce qui n'a pas de lien direct avec les projets que l'entreprise a déjà réalisés, qui sont principalement liés à l'entrepreneuriat, l'économie numérique et l'innovation destart-up.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne une bourse de recherche pour des chercheurs qui veulent devenir des chercheurs indépendants dans le domaine de la santé, ce qui n'a pas de lien direct avec les projets que l'entreprise a déjà réalisés, qui sont principalement liés à l'entrepreneuriat, l'économie numérique et l'innovation destart-up."
UKRI policy fellowships 2025,https://www.ukri.org/opportunity/ukri-policy-fellowships-2025/,"Spend 18 months as a UK Research and Innovation (UKRI) core policy fellow, Natural Hazards and Resilience policy fellow or What Works Innovation fellow to inform policy to address pressing national and global challenges.",22 April 2025 9:00am UK time,15 July 2025 4:00pm UK time,Yes,"capacity building, due diligence, monitoring and evaluation, artificial intelligence",Non,"L'appel à projets concerne des fellowships pour des chercheurs en poste dans des organisations de recherche britanniques, pour travailler sur des projets de recherche appliquée en collaboration avec des gouvernements ou des réseaux de recherche. Les thèmes abordés sont très différents de ceux traités dans les projets de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, etc.). Il n'y a pas de similarité entre les deux.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des fellowships pour des chercheurs en poste dans des organisations de recherche britanniques, pour travailler sur des projets de recherche appliquée en collaboration avec des gouvernements ou des réseaux de recherche. Les thèmes abordés sont très différents de ceux traités dans les projets de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, etc.). Il n'y a pas de similarité entre les deux."
Pre-announcement: Engineer next generation veterinary vaccine technology platforms,https://www.ukri.org/opportunity/engineer-next-generation-veterinary-vaccine-technology-platforms/,"Apply to engineer next generation ‘plug and play’ veterinary vaccine technology platforms, using novel transformative technologies underpinned by immunological understanding, focusing on unmet needs in veterinary research.",11 June 2025 9:00am UK time,16 September 2025 4:00pm UK time,Yes,"due diligence, intellectual property, biotechnology, artificial intelligence",Non,"L'appel à projet concerne spécifiquement la recherche en vaccinologie avec une approche ""One Health"" qui n'est pas un axe de travail que l'entreprise a déjà réalisé. Les domaines de spécialisation tels que Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy sont loin de la thématique proposée. L'entreprise n'a pas d'expérience dans le domaine de la recherche en vaccinologie et en biotechnologie.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne spécifiquement la recherche en vaccinologie avec une approche ""One Health"" qui n'est pas un axe de travail que l'entreprise a déjà réalisé. Les domaines de spécialisation tels que Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy sont loin de la thématique proposée. L'entreprise n'a pas d'expérience dans le domaine de la recherche en vaccinologie et en biotechnologie."
UK Japan Civil Nuclear Research Programme 2025,https://www.ukri.org/opportunity/uk-japan-civil-nuclear-research-programme-2025/,"This is a jointly funded opportunity between EPSRC and the Japanese Ministry of Education, Culture, Sports, Science and Technology (MEXT) aiming to support two projects focused on the decommissioning of Fukushima and Sellafield.",11 April 2025 9:00am UK time,12 June 2025 4:00pm UK time,Yes,"due diligence, artificial intelligence",Non,"L'appel à projet concerne la recherche en décommissionnement de centrales nucléaires, ce qui n'a aucun lien avec les axes de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing). Les projets que l'entreprise a déjà réalisés s'inscrivent dans des domaines très différents de celui-ci.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne la recherche en décommissionnement de centrales nucléaires, ce qui n'a aucun lien avec les axes de l'entreprise (Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, Strategic Development, Financing). Les projets que l'entreprise a déjà réalisés s'inscrivent dans des domaines très différents de celui-ci."
Applied global health research: stage two,https://www.ukri.org/opportunity/applied-global-health-research-invited-stage-two/,Apply for funding to support applied research that will address global health challenges and inequities.,30 April 2025 9:00am UK time,16 July 2025 4:00pm UK time,Yes,"capacity building, due diligence, project implementation, economic development, technology transfer, intellectual property, artificial intelligence, applied research",Non,"L'appel à projets concerne la recherche en santé globale et la politique de santé, alors que les projets déjà réalisés par l'entreprise portent sur l'entrepreneuriat, la Deeptech, l'incubation, la stratégie et le développement économique. Il n'y a pas de similarité ou de lien évident entre les thèmes abordés.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne la recherche en santé globale et la politique de santé, alors que les projets déjà réalisés par l'entreprise portent sur l'entrepreneuriat, la Deeptech, l'incubation, la stratégie et le développement économique. Il n'y a pas de similarité ou de lien évident entre les thèmes abordés."
2025 to 2026 strategic Longer and Larger (sLoLa) grants: stage one,https://www.ukri.org/opportunity/2025-to-2026-strategic-longer-and-larger-slola-grants/,Apply for funding to undertake large team-based fundamental bioscience research projects which push the frontiers of human knowledge.,29 May 2025 9:00am UK time,24 July 2025 4:00pm UK time,Yes,"project management, due diligence, artificial intelligence, sustainable development",Non,"Les projets que l'entreprise a déjà réalisés sont principalement liés à l'incubation, l'accélération, la stratégie, le financement et la création d'écosystèmes pour les startups et les projets Deeptech, notamment dans lesdomaines de l'économie numérique. L'appel à projet sLoLa est, quant à lui, spécifiquement centré sur la recherche en bioscience et la découverte de nouvelles connaissances fondamentales dans ce domaine, ce qui ne correspond pas aux domaines d'expertise de l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets que l'entreprise a déjà réalisés sont principalement liés à l'incubation, l'accélération, la stratégie, le financement et la création d'écosystèmes pour les startups et les projets Deeptech, notamment dans lesdomaines de l'économie numérique. L'appel à projet sLoLa est, quant à lui, spécifiquement centré sur la recherche en bioscience et la découverte de nouvelles connaissances fondamentales dans ce domaine, ce qui ne correspond pas aux domaines d'expertise de l'entreprise."
Facility access funding for bioscience partnerships,https://www.ukri.org/opportunity/facility-access-funding-for-bioscience-partnerships/,"Apply for funding to support UK business and bioscience academic partnerships in accessing and benefitting from STFC skills, expertise, capabilities and world class facilities to find solutions to industrially relevant challenges.",8 April 2025 9:00am UK time,12 June 2025 4:00pm UK time,Yes,"due diligence, intellectual property, biotechnology, artificial intelligence, machine learning",Oui,Cette opportunité de financement pour des partenariats académiques et entreprises dans le domaine de la bioscience et de la biotechnologie présente des similarités avec les projets FACTORIAT et National Entrepreneurship Program.,"Pertinence : Oui

Projets similaires détectés : FACTORIAT, National Entrepreneurship Program

Résumé rapide : Cette opportunité de financement pour des partenariats académiques et entreprises dans le domaine de la bioscience et de la biotechnologie présente des similarités avec les projets FACTORIAT et National Entrepreneurship Program.

FACTORIAT, qui vise à soutenir les startups Deeptech et Hardware, partage des similitudes avec l'appel à projet qui finance des partenariats académiques et entreprises dans des domaines tels que la biotechnologie.

Le programme National Entrepreneurship Program, qui vise à développer des écosystèmes d'entreprises, partage également des similarités avec l'appel à projet qui vise à soutenir les entreprises et les partenariats académiques pour développer de nouveaux produits ou services dans le domaine de la bioscience et de la biotechnologie.

Bien que l'appel à projet soit spécifique à la bioscience et biotechnologie, les éléments clés tels que la collaborations académiques-entreprises, le soutien à la R&D et l'innovation, ainsi que le développement de nouveaux produits ou services, sont similaires aux projets que l'entreprise a déjà menés."
DARE UK next-generation trusted research environment capabilities,https://www.ukri.org/opportunity/dare-uk-next-generation-trusted-research-environment-capabilities/,Apply for funding to prototype the ‘next generation’ capabilities for federated trusted research environments (TREs). Applications from across all disciplines and research councils’ remits are welcomed.,4 April 2025 9:00am UK time,5 June 2025 4:00pm UK time,Yes,"due diligence, technology transfer, intellectual property, artificial intelligence, machine learning, applied research",Non,"L'appel à projet concerne la création d'une infrastructure de recherche en données sensibles (TRE) au Royaume-Uni, avec un focus sur l'innovation et la sécurisation des données. Les projets précédemment réalisés par l'entreprise ne couvrent pas ce domaine spécifique. Les projets FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy ont des objectifs et des champs d'application très différents ( Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Digital Economy, Strategic Development, Financing) qui ne correspondent pas au contenu de cet appel à projet.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide :

L'appel à projet concerne la création d'une infrastructure de recherche en données sensibles (TRE) au Royaume-Uni, avec un focus sur l'innovation et la sécurisation des données. Les projets précédemment réalisés par l'entreprise ne couvrent pas ce domaine spécifique. Les projets FACTORIAT, National Entrepreneurship Program, Arab Bank Strategy ont des objectifs et des champs d'application très différents ( Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Digital Economy, Strategic Development, Financing) qui ne correspondent pas au contenu de cet appel à projet."
Applied global health partnership: stage two,https://www.ukri.org/opportunity/applied-global-health-partnership-invited-stage-two/,Apply for funding to support a new research partnership to enable the development and delivery of novel research that will address global health challenges and inequities.,30 April 2025 9:00am UK time,16 July 2025 4:00pm UK time,Yes,"capacity building, due diligence, project implementation, economic development, technology transfer, intellectual property, artificial intelligence, applied research, co-development",Oui,"L'appel à projets concerne des partenariats pour répondre à des défis de santé mondiale, avec un accent sur des collaborations entre pays à faible revenu (LMIC) et des partenaires non-académiques. Les projets de l'entreprise qui présentent une similarité avec cet appel à projets sont le National Entrepreneurship Program, qui concerne la mise en place d'un écosystème entrepreneurial, et Arab Bank Strategy, qui vise à développer des stratégies de financement pour des projets économiques numériques en Afrique.","Analyse des éléments du appel à projets et des projets de l'entreprise :

* Pertinence : Oui
* Projets similaires détectés : National Entrepreneurship Program, Arab Bank Strategy

Résumé rapide :

L'appel à projets concerne des partenariats pour répondre à des défis de santé mondiale, avec un accent sur des collaborations entre pays à faible revenu (LMIC) et des partenaires non-académiques. Les projets de l'entreprise qui présentent une similarité avec cet appel à projets sont le National Entrepreneurship Program, qui concerne la mise en place d'un écosystème entrepreneurial, et Arab Bank Strategy, qui vise à développer des stratégies de financement pour des projets économiques numériques en Afrique.

Bien que l'appel à projets soit spécifiquement centré sur la santé, les compétences de l'entreprise dans la mise en place de partenariats et d'écosystèmes entrepreneurial, ainsi que son expérience dans la conception de stratégies de financement pour des projets de développement, peuvent être pertinentes pour répondre à cet appel à projets."
Collaborate with researchers in Norway,https://www.ukri.org/opportunity/collaborate-with-researchers-in-norway/,UKRI and Research Council of Norway have signed a Money Follows Cooperation agreement to enable collaborative applications between researchers in the UK and Norway. UKRI funding will be provided for project co-leads based in Norway in successful applications. Applications must be submitted through existing council programmes.,Date d'ouverture non spécifiée,Date de clôture non spécifiée,Yes,due diligence,Non,"L'appel à projet met l'accent sur la collaboration internationale entre le Royaume-Uni et la Norvège dans le domaine de la recherche, avec une focus sur les councils de recherche UKRI. Lesoprojects antérieurs de l'entreprise sont majoritairement axés sur l'incubation, la stratégie, le développement économique numérique, la création d'écosystème, etc. Il n'y a pas de lien direct avec la recherche collaborative ni avec les council de recherche UKRI.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide expliquant ma réponse : 
L'appel à projet met l'accent sur la collaboration internationale entre le Royaume-Uni et la Norvège dans le domaine de la recherche, avec une focus sur les councils de recherche UKRI. Lesoprojects antérieurs de l'entreprise sont majoritairement axés sur l'incubation, la stratégie, le développement économique numérique, la création d'écosystème, etc. Il n'y a pas de lien direct avec la recherche collaborative ni avec les council de recherche UKRI."
Collaborative doctoral landscape award in the arts and humanities,https://www.ukri.org/opportunity/collaborative-doctoral-landscape-award-in-the-arts-and-humanities/,"Apply for a collaborative doctoral landscape award in the arts and humanities. These awards enable UK non-higher education institutions (non-HEI), individual or consortia, to support high-quality doctoral training.",10 April 2025 9:00am UK time,20 November 2025 4:00pm UK time,Yes,"project management, due diligence, monitoring and evaluation, artificial intelligence, skills development",Non,"Les projets de l'entreprise sont principalement axés sur l'entrepreneuriat, la Deeptech, le financement et l'économie numérique, alors que l'appel à projet européen concerne la formation doctorale en arts et humanités, avec un focus sur les partenariats entre organisations non-universitaires et les institutions d'enseignement supérieur. Les domaines d'activité sont donc très éloignés, ce qui rend cette opportunité non pertinente pour l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : Les projets de l'entreprise sont principalement axés sur l'entrepreneuriat, la Deeptech, le financement et l'économie numérique, alors que l'appel à projet européen concerne la formation doctorale en arts et humanités, avec un focus sur les partenariats entre organisations non-universitaires et les institutions d'enseignement supérieur. Les domaines d'activité sont donc très éloignés, ce qui rend cette opportunité non pertinente pour l'entreprise."
Notification of intent: Transdisciplinary research to tackle antimicrobial resistance,https://www.ukri.org/opportunity/notification-of-intent-transdisciplinary-research-to-tackle-antimicrobial-resistance/,Apply for funding to undertake ambitious transdisciplinary research to tackle antimicrobial resistance (AMR).,25 March 2025 9:00am UK time,18 June 2025 4:00pm UK time,Yes,"project management, due diligence, intellectual property, artificial intelligence, machine learning",Non,"L'appel à projets concerne des recherches transdisciplinaires sur la résistance aux antimicrobiens (AMR), avec un focus sur les early career researchers et les collaborations internationales. Les projets déjà réalisés par l'entreprise concernent l'incubation, le développement d'écosystèmes d'entrepreneuriat, et la stratégie de financement pour l'économie digitale en Afrique. Il n'y a pas de similarité évidente entre les deux.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des recherches transdisciplinaires sur la résistance aux antimicrobiens (AMR), avec un focus sur les early career researchers et les collaborations internationales. Les projets déjà réalisés par l'entreprise concernent l'incubation, le développement d'écosystèmes d'entrepreneuriat, et la stratégie de financement pour l'économie digitale en Afrique. Il n'y a pas de similarité évidente entre les deux."
PATT travel grants for competitively awarded observation time 2025,https://www.ukri.org/opportunity/patt-travel-grants-for-competitively-awarded-observation-time-2025/,You can apply for travel and subsistence in support of competitively awarded science observation time at astronomy facilities available to the UK research community.,21 August 2025 9:00am UK time,16 October 2025 4:00pm UK time,Yes,"due diligence, artificial intelligence",Non,"Ce projet d'appel à propositions concerne un financement spécifique pour des chercheurs UK pour des voyages d'observation astronomie, ce qui est très éloigné des activités de l'entreprise, qui sont principalement liées à l'incubation, la création d'écosystèmes d'entrepreneuriat, le développement de stratégies de financement et la mise en place de programmes de développement. Il n'y a pas de similarité avec les projets précédents de l'entreprise.","Voici ma réponse :

- Pertinence : Non
- Projets similaires détectés : Aucun
- Résumé rapide : Ce projet d'appel à propositions concerne un financement spécifique pour des chercheurs UK pour des voyages d'observation astronomie, ce qui est très éloigné des activités de l'entreprise, qui sont principalement liées à l'incubation, la création d'écosystèmes d'entrepreneuriat, le développement de stratégies de financement et la mise en place de programmes de développement. Il n'y a pas de similarité avec les projets précédents de l'entreprise."
Developmental pathway funding scheme: stage one,https://www.ukri.org/opportunity/developmental-pathway-funding-scheme/,"Apply for funding to develop and test novel therapeutics, medical devices, diagnostics and other interventions.",20 March 2025 9:00am UK time,16 July 2025 4:00pm UK time,Yes,"project management, due diligence, technology transfer, intellectual property, biotechnology, artificial intelligence",Non,"L'appel à projet concerne des recherches médicales translationnelles, notamment dans le domaine des thérapies, des diagnostics, des dispositifs médicaux, etc. Les projets déjà réalisés par l'entreprise sont dans des domaines différents tels que l'incubation de startups, le développement de l'économie numérique, la stratégie entrepreneuriale. Il n'y a pas de lien direct entre les projets déjà réalisés et cet appel à projet.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide :
L'appel à projet concerne des recherches médicales translationnelles, notamment dans le domaine des thérapies, des diagnostics, des dispositifs médicaux, etc. Les projets déjà réalisés par l'entreprise sont dans des domaines différents tels que l'incubation de startups, le développement de l'économie numérique, la stratégie entrepreneuriale. Il n'y a pas de lien direct entre les projets déjà réalisés et cet appel à projet."
Interdisciplinary research to tackle epidemic threats,https://www.ukri.org/opportunity/interdisciplinary-research-to-tackle-epidemic-threats/,"Apply for funding to undertake ambitious interdisciplinary research to tackle epidemic diseases of animals, humans or plants for a duration of up to five years.",27 March 2025 9:00am UK time,19 June 2025 4:00pm UK time,Yes,"due diligence, technology transfer, intellectual property, artificial intelligence, applied research",Non,"L'entreprise a réalisé des projets dans les domaines de la Deeptech, du développement entrepreneurial, de la stratégie digitale et de l'économie numérique, tandis que l'appel à projet concerne la recherche interdisciplinaire sur les maladies infectieuses. Il n'y a aucun point de convergence entre les projets de l'entreprise et cet appel à projet.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'entreprise a réalisé des projets dans les domaines de la Deeptech, du développement entrepreneurial, de la stratégie digitale et de l'économie numérique, tandis que l'appel à projet concerne la recherche interdisciplinaire sur les maladies infectieuses. Il n'y a aucun point de convergence entre les projets de l'entreprise et cet appel à projet."
Statements of Need in Research Infrastructure,https://www.ukri.org/opportunity/statements-of-need-in-research-infrastructure/,"EPSRC wishes to understand the scale, nature, and scientific value of potential large-scale infrastructure investments to maintain the UK as a leading scientific nation. Representatives of relevant scientific communities are invited to submit statements of need according to the assessment criteria.",17 March 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, artificial intelligence",Oui,"Cette opportunité semble pertinente car elle concerne des investissements dans des infrastructures de recherche et innovation, ce qui correspond à des thématiques déjà abordées par l'entreprise, notamment dans les projets FACTORIAT (support à la maturation technique et financière de startups Deeptech et Hardware) et Arab Bank Strategy (développement de projets dans l'économie numérique africaine). Les aspects de stratégie et de financement de cette opportunité sont particulièrement conformes à l'expérience de l'entreprise.","Pertinence : Oui

Projets similaires détectés : FACTORIAT, Arab Bank Strategy

Résumé rapide : Cette opportunité semble pertinente car elle concerne des investissements dans des infrastructures de recherche et innovation, ce qui correspond à des thématiques déjà abordées par l'entreprise, notamment dans les projets FACTORIAT (support à la maturation technique et financière de startups Deeptech et Hardware) et Arab Bank Strategy (développement de projets dans l'économie numérique africaine). Les aspects de stratégie et de financement de cette opportunité sont particulièrement conformes à l'expérience de l'entreprise."
EPSRC Programme grant full proposal,https://www.ukri.org/opportunity/epsrc-programme-grant-full-proposal/,Programme grants provide flexible funding to world-leading research groups addressing significant major research challenges.,4 March 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"project management, due diligence, artificial intelligence",Non,"L'appel à projets présenté est très spécifique à des programmes de recherche et d'innovation au niveau national et international, avec des critères de sélection très précis et des attentes claires en termes de résultats. Les projets déjà réalisés par l'entreprise sont plutôt tournés vers l'incubation, l'accélération, le développement de l'entreprenariat et la stratégie digitale, sans lien direct avec les thèmes de recherche et d'innovation abordés dans l'appel à projets.","Pertinence : Non

Projets similaires détectés : None

Résumé rapide : L'appel à projets présenté est très spécifique à des programmes de recherche et d'innovation au niveau national et international, avec des critères de sélection très précis et des attentes claires en termes de résultats. Les projets déjà réalisés par l'entreprise sont plutôt tournés vers l'incubation, l'accélération, le développement de l'entreprenariat et la stratégie digitale, sans lien direct avec les thèmes de recherche et d'innovation abordés dans l'appel à projets."
Mathematical sciences postdoctoral fellowship,https://www.ukri.org/opportunity/mathematical-sciences-postdoctoral-fellowship/,"These are personal, career development focused awards for the mathematical sciences.",19 February 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, artificial intelligence",Non,"L'appel à projets concerne des fellowships pour des chercheurs en sciences mathématiques, qui visent à financer des recherches de 3 ans maximum. Les projets déjà réalisés par l'entreprise concernent l'incubation, l'accélération, le développement de stratégies pour les startups, la formation, etc. Il n'y a pas de similarité directe entre les deux. La seule chose qui pourrait être en lien est peut-être le volet ""Capacity building"" du projet ""National Entrepreneurship Program"", mais cela est très indirect et ne constitue pas une base suffisante pour estimer que l'opportunité est pertinente.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des fellowships pour des chercheurs en sciences mathématiques, qui visent à financer des recherches de 3 ans maximum. Les projets déjà réalisés par l'entreprise concernent l'incubation, l'accélération, le développement de stratégies pour les startups, la formation, etc. Il n'y a pas de similarité directe entre les deux. La seule chose qui pourrait être en lien est peut-être le volet ""Capacity building"" du projet ""National Entrepreneurship Program"", mais cela est très indirect et ne constitue pas une base suffisante pour estimer que l'opportunité est pertinente."
Pre-announcement: Opening up the Environment 2026,https://www.ukri.org/opportunity/opening-up-the-environment-2026/,Apply for funding to deliver purposeful activities to increase the diversity of the UK environmental science community.,8 July 2025 9:00am UK time,21 January 2026 4:00pm UK time,Yes,"project evaluation, due diligence, intellectual property",Non,"L'appel à projets seem to focus on funding partnerships to increase diversity in the environmental research sector, which is quite different from the projects previously undertaken by the enterprise. The enterprise's projects were more focused on entrepreneurship, innovation, and startup ecosystems, whereas this funding opportunity is centered around environmental research and collaboration.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets seem to focus on funding partnerships to increase diversity in the environmental research sector, which is quite different from the projects previously undertaken by the enterprise. The enterprise's projects were more focused on entrepreneurship, innovation, and startup ecosystems, whereas this funding opportunity is centered around environmental research and collaboration."
Small molecule high throughput screen using AstraZeneca facilities,https://www.ukri.org/opportunity/small-molecule-high-throughput-screen-using-astrazeneca-facilities/,Apply for funding to run a high throughput screen (HTS) using AstraZeneca’s compound library and screening robots.,10 February 2025 9:00am UK time,9 September 2025 4:00pm UK time,Yes,"due diligence, open innovation, intellectual property, robotics, artificial intelligence",Non,"L'appel à projet concerne un financement pour des recherches académiques en matière de médicaments, ce qui est très spécifique et loin des domaines d'expertise de l'entreprise (Deeptech, Incubation, Prototyping, Acceleration, Capacity building, Stratégie, Économie numérique, etc.). Il n'y a donc aucun projet similaire dans la liste des projets déjà réalisés par l'entreprise.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet concerne un financement pour des recherches académiques en matière de médicaments, ce qui est très spécifique et loin des domaines d'expertise de l'entreprise (Deeptech, Incubation, Prototyping, Acceleration, Capacity building, Stratégie, Économie numérique, etc.). Il n'y a donc aucun projet similaire dans la liste des projets déjà réalisés par l'entreprise."
AHRC responsive mode: Curiosity Award,https://www.ukri.org/opportunity/ahrc-responsive-mode-curiosity-award/,"Flexible awards to fund fundamental research that leads to new research agendas, networking activity and idea generation, which enables the development of further research opportunities and new research agendas.",31 January 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, proof of concept, artificial intelligence",Non,"L'appel à projets de UKRI est principalement axé sur la recherche fondamentale en arts et humanités, avec un focus sur la curiosité et la découverte de nouvelles idées. Les projets précédemment réalisés par l'entreprise sont principalement dans des domaines tels que l'incubation, l'accélération, la formation, le développement stratégique et la création d'écosystème, qui ne correspondent pas au cœur de cet appel à projets. Il n'y a donc pas de pertinence directe entre les projets précédemment réalisés et cet appel à projets.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets de UKRI est principalement axé sur la recherche fondamentale en arts et humanités, avec un focus sur la curiosité et la découverte de nouvelles idées. Les projets précédemment réalisés par l'entreprise sont principalement dans des domaines tels que l'incubation, l'accélération, la formation, le développement stratégique et la création d'écosystème, qui ne correspondent pas au cœur de cet appel à projets. Il n'y a donc pas de pertinence directe entre les projets précédemment réalisés et cet appel à projets."
AHRC responsive mode: catalyst awards,https://www.ukri.org/opportunity/ahrc-responsive-mode-catalyst-awards/,"AHRC awards to support researchers without prior experience of leading a significant research project to accelerate their trajectory as independent researchers, to unlock their potential and build leadership and convenor experience.",31 January 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, artificial intelligence",Non,"L'appel à projets décrit une opportunité de financement pour les chercheurs sans expérience de direction de projet, visant à accélérer leur trajectoire en tant que chercheurs indépendants. Les critères d'éligibilité et les objectifs du projet sont très spécifiques et ne correspondent pas aux projets déjà réalisés par l'entreprise, qui sont plus orientés vers l'incubation, l'accélération et la stratégie pour les startups et les entreprises.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets décrit une opportunité de financement pour les chercheurs sans expérience de direction de projet, visant à accélérer leur trajectoire en tant que chercheurs indépendants. Les critères d'éligibilité et les objectifs du projet sont très spécifiques et ne correspondent pas aux projets déjà réalisés par l'entreprise, qui sont plus orientés vers l'incubation, l'accélération et la stratégie pour les startups et les entreprises."
Pushing the frontiers of environmental research: July 2025,https://www.ukri.org/opportunity/pushing-the-frontiers-of-environmental-research-july-2025/,"Apply for funding to pursue an ambitious, high risk and high reward curiosity-driven project in environmental research.",5 February 2025 9:00am UK time,16 July 2025 4:00pm UK time,Yes,"due diligence, artificial intelligence",Non,"** Les projets que l'entreprise a déjà réalisés sont principalement axés sur le soutien aux startups, la création d'écosystèmes d'entreprises, la stratégie et le financement de projets dans les domaines de la Deeptech, du numérique et de l'économie. L'appel à projet de la NERC est quant à lui focused sur la recherche en sciences de l'environnement et la découverte de nouvelles technologies, ce qui ne correspond pas aux axes principaux des projets de l'entreprise.","**Pertinence : Non**

**Projets similaires détectés : Aucun**

**Résumé rapide :** Les projets que l'entreprise a déjà réalisés sont principalement axés sur le soutien aux startups, la création d'écosystèmes d'entreprises, la stratégie et le financement de projets dans les domaines de la Deeptech, du numérique et de l'économie. L'appel à projet de la NERC est quant à lui focused sur la recherche en sciences de l'environnement et la découverte de nouvelles technologies, ce qui ne correspond pas aux axes principaux des projets de l'entreprise."
Mathematical sciences open and open plus fellowship,https://www.ukri.org/opportunity/mathematical-sciences-open-and-open-plus-fellowship/,"These are personal, career development focused awards for the mathematical sciences.",30 January 2025 9:00am UK time,Date de clôture non spécifiée,Yes,"due diligence, artificial intelligence",Non,"L'appel à projet se concentre sur des programmes de recherche en sciences mathématiques et ne correspond pas aux axes d'expertise de l'entreprise, qui sontRather, the company's areas of expertise are Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, and Strategic Development. Although the company has experience in supporting startups and entrepreneurship, the specific focus on mathematical sciences research is not aligned with their previous projects.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projet se concentre sur des programmes de recherche en sciences mathématiques et ne correspond pas aux axes d'expertise de l'entreprise, qui sontRather, the company's areas of expertise are Deeptech, Hardware, Incubation, Prototyping, Acceleration, Capacity building, Strategy, Startup Ecosystem, Digital Economy, and Strategic Development. Although the company has experience in supporting startups and entrepreneurship, the specific focus on mathematical sciences research is not aligned with their previous projects."
Future Leaders Fellowships: round 10,https://www.ukri.org/opportunity/future-leaders-fellowships-round-10/,Apply for funding to support ambitious research and innovation across UK Research and Innovation (UKRI)’s remit. You must be an early career researcher or innovator who is either:,3 February 2025 9:00am UK time,18 June 2025 4:00pm UK time,Yes,"due diligence, artificial intelligence, skills development",Non,"L'appel à projets concerne des fellowships pour des recherches et innovationsearly-career à la UK, alors que les projets de l'entreprise sont liés à l'incubation, l'accélération, le développement de l'économie numérique, etc. Il n'y a pas de lien direct entre les deux.","Pertinence : Non

Projets similaires détectés : Aucun

Résumé rapide : L'appel à projets concerne des fellowships pour des recherches et innovationsearly-career à la UK, alors que les projets de l'entreprise sont liés à l'incubation, l'accélération, le développement de l'économie numérique, etc. Il n'y a pas de lien direct entre les deux."
